pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,raw,reference,map.data_change.100000,2097152,7,348.838739,234.000005
1,raw,reference,map.data_change.100000,2097152,8,350.560754,234.000005
1,raw,reference,map.data_change.100000,2097152,9,354.252734,234.000005
1,raw,finalist,map.data_change.100000,4194304,1,234.713582,262.000002
1,raw,finalist,map.data_change.100000,4194304,2,237.464178,262.000002
1,raw,finalist,map.data_change.100000,4194304,3,236.551273,262.000002
1,raw,finalist,map.data_change.100000,4194304,4,236.712651,262.000002
1,raw,finalist,map.data_change.100000,4194304,5,238.734231,262.000002
1,raw,finalist,map.data_change.100000,4194304,6,240.273948,262.000002
1,raw,finalist,map.data_change.100000,4194304,7,242.593046,262.000002
1,raw,finalist,map.data_change.100000,4194304,8,244.139414,262.000002
1,raw,finalist,map.data_change.100000,4194304,9,242.992598,262.000002
1,public,reference,map.data_change.100000,2097152,1,363.428057,234.000005
1,public,reference,map.data_change.100000,2097152,2,360.516083,234.000005
1,public,reference,map.data_change.100000,2097152,3,360.648642,234.000005
1,public,reference,map.data_change.100000,2097152,4,357.188696,234.000005
1,public,reference,map.data_change.100000,2097152,5,359.217211,234.000005
1,public,reference,map.data_change.100000,2097152,6,359.110345,234.000005
1,public,reference,map.data_change.100000,2097152,7,357.298859,234.000005
1,public,reference,map.data_change.100000,2097152,8,348.880803,234.000005
1,public,reference,map.data_change.100000,2097152,9,341.556643,234.000005
1,public,finalist,map.data_change.100000,256,1,3599043.004215,4349.328125
1,public,finalist,map.data_change.100000,256,2,3547218.628228,4349.328125
1,public,finalist,map.data_change.100000,256,3,3639691.509306,4349.328125
1,public,finalist,map.data_change.100000,256,4,3548738.546669,4349.328125
1,public,finalist,map.data_change.100000,256,5,3562969.155610,4349.328125
1,public,finalist,map.data_change.100000,256,6,3572155.721486,4349.328125
1,public,finalist,map.data_change.100000,256,7,3592581.488192,4349.328125
1,public,finalist,map.data_change.100000,256,8,3653847.612441,4349.328125
1,public,finalist,map.data_change.100000,256,9,3537649.288774,4349.328125
1,raw,reference,map.membership_change.10000,1048576,1,479.706614,349.500010
1,raw,reference,map.membership_change.10000,1048576,2,483.496478,349.500010
1,raw,reference,map.membership_change.10000,1048576,3,478.133188,349.500010
1,raw,reference,map.membership_change.10000,1048576,4,473.423825,349.500010
1,raw,reference,map.membership_change.10000,1048576,5,478.008133,349.500010
1,raw,reference,map.membership_change.10000,1048576,6,478.894208,349.500010
1,raw,reference,map.membership_change.10000,1048576,7,483.514668,349.500010
1,raw,reference,map.membership_change.10000,1048576,8,487.031002,349.500010
1,raw,reference,map.membership_change.10000,1048576,9,486.452109,349.500010
1,raw,finalist,map.membership_change.10000,2097152,1,288.043907,368.000005
1,raw,finalist,map.membership_change.10000,2097152,2,286.179556,368.000005
1,raw,finalist,map.membership_change.10000,2097152,3,285.419901,368.000005
1,raw,finalist,map.membership_change.10000,2097152,4,287.533226,368.000005
1,raw,finalist,map.membership_change.10000,2097152,5,289.427248,368.000005
1,raw,finalist,map.membership_change.10000,2097152,6,289.044920,368.000005
1,raw,finalist,map.membership_change.10000,2097152,7,286.885665,368.000005
1,raw,finalist,map.membership_change.10000,2097152,8,287.871899,368.000005
1,raw,finalist,map.membership_change.10000,2097152,9,291.309334,368.000005
1,public,reference,map.membership_change.10000,1048576,1,488.512114,349.500010
1,public,reference,map.membership_change.10000,1048576,2,492.261961,349.500010
1,public,reference,map.membership_change.10000,1048576,3,490.828370,349.500010
1,public,reference,map.membership_change.10000,1048576,4,488.936394,349.500010
1,public,reference,map.membership_change.10000,1048576,5,492.816980,349.500010
1,public,reference,map.membership_change.10000,1048576,6,488.754267,349.500010
1,public,reference,map.membership_change.10000,1048576,7,488.356591,349.500010
1,public,reference,map.membership_change.10000,1048576,8,490.980028,349.500010
1,public,reference,map.membership_change.10000,1048576,9,487.057832,349.500010
1,public,finalist,map.membership_change.10000,4096,1,159405.753948,4495.020508
1,public,finalist,map.membership_change.10000,4096,2,159582.064953,4495.020508
1,public,finalist,map.membership_change.10000,4096,3,159413.088113,4495.020508
1,public,finalist,map.membership_change.10000,4096,4,159798.597451,4495.020508
1,public,finalist,map.membership_change.10000,4096,5,159733.404871,4495.020508
1,public,finalist,map.membership_change.10000,4096,6,159579.562023,4495.020508
1,public,finalist,map.membership_change.10000,4096,7,159507.093485,4495.020508
1,public,finalist,map.membership_change.10000,4096,8,159524.672199,4495.020508
1,public,finalist,map.membership_change.10000,4096,9,159653.543960,4495.020508
1,raw,reference,map.membership_change.100000,1048576,1,569.402800,439.500010
1,raw,reference,map.membership_change.100000,1048576,2,569.632448,439.500010
1,raw,reference,map.membership_change.100000,1048576,3,568.188625,439.500010
1,raw,reference,map.membership_change.100000,1048576,4,567.815732,439.500010
1,raw,reference,map.membership_change.100000,1048576,5,565.139771,439.500010
1,raw,reference,map.membership_change.100000,1048576,6,568.513997,439.500010
1,raw,reference,map.membership_change.100000,1048576,7,571.249984,439.500010
1,raw,reference,map.membership_change.100000,1048576,8,576.886123,439.500010
1,raw,reference,map.membership_change.100000,1048576,9,581.472477,439.500010
1,raw,finalist,map.membership_change.100000,2097152,1,318.023240,422.000005
1,raw,finalist,map.membership_change.100000,2097152,2,317.683202,422.000005
1,raw,finalist,map.membership_change.100000,2097152,3,316.551677,422.000005
1,raw,finalist,map.membership_change.100000,2097152,4,320.088475,422.000005
1,raw,finalist,map.membership_change.100000,2097152,5,324.279767,422.000005
1,raw,finalist,map.membership_change.100000,2097152,6,325.110477,422.000005
1,raw,finalist,map.membership_change.100000,2097152,7,325.005090,422.000005
1,raw,finalist,map.membership_change.100000,2097152,8,319.282435,422.000005
1,raw,finalist,map.membership_change.100000,2097152,9,319.874289,422.000005
1,public,reference,map.membership_change.100000,1048576,1,575.764716,439.500010
1,public,reference,map.membership_change.100000,1048576,2,574.049864,439.500010
1,public,reference,map.membership_change.100000,1048576,3,575.410695,439.500010
1,public,reference,map.membership_change.100000,1048576,4,579.026164,439.500010
1,public,reference,map.membership_change.100000,1048576,5,574.038495,439.500010
1,public,reference,map.membership_change.100000,1048576,6,574.979822,439.500010
1,public,reference,map.membership_change.100000,1048576,7,565.078835,439.500010
1,public,reference,map.membership_change.100000,1048576,8,575.766535,439.500010
1,public,reference,map.membership_change.100000,1048576,9,579.989546,439.500010
1,public,finalist,map.membership_change.100000,256,1,3596367.314458,4628.328125
1,public,finalist,map.membership_change.100000,256,2,3521992.824972,4628.328125
1,public,finalist,map.membership_change.100000,256,3,3550554.625690,4628.328125
1,public,finalist,map.membership_change.100000,256,4,3508344.292641,4628.328125
1,public,finalist,map.membership_change.100000,256,5,3660081.885755,4628.328125
