pair,side,name,operations,sample,wall_ns,allocated_words
2,candidate,failed_retry.depth_10.position_last,131072,4,6094.001947,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,5,6045.211194,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,6,6053.871402,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,7,6065.047273,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,8,6075.921192,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,9,6084.159395,3368.000610
2,reference,failed_retry.depth_100.position_last,16384,1,39248.829125,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,2,39277.772885,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,3,39318.241761,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,4,39317.746996,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,5,39039.179683,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,6,38450.263673,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,7,38565.252908,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,8,38777.521695,24151.004883
2,reference,failed_retry.depth_100.position_last,16384,9,38447.571569,24151.004883
2,candidate,failed_retry.depth_100.position_last,32768,1,30010.254704,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,2,30014.707590,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,3,30005.401641,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,4,30005.554436,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,5,30022.732972,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,6,29994.502256,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,7,30034.367228,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,8,29820.832424,7808.002441
2,candidate,failed_retry.depth_100.position_last,32768,9,29752.380215,7808.002441
2,reference,dynamic_scope_cleanup,65536,1,8930.161130,7304.001221
2,reference,dynamic_scope_cleanup,65536,2,8996.201359,7304.001221
2,reference,dynamic_scope_cleanup,65536,3,8996.627002,7304.001221
2,reference,dynamic_scope_cleanup,65536,4,9026.854968,7304.001221
2,reference,dynamic_scope_cleanup,65536,5,9012.601367,7304.001221
2,reference,dynamic_scope_cleanup,65536,6,8971.634088,7304.001221
2,reference,dynamic_scope_cleanup,65536,7,8979.615814,7304.001221
2,reference,dynamic_scope_cleanup,65536,8,9049.927030,7304.001221
2,reference,dynamic_scope_cleanup,65536,9,8902.174159,7304.001221
2,candidate,dynamic_scope_cleanup,16384,1,113359.259558,4073.007263
2,candidate,dynamic_scope_cleanup,16384,2,119500.677101,4081.005615
2,candidate,dynamic_scope_cleanup,16384,3,136393.791763,4073.004883
2,candidate,dynamic_scope_cleanup,16384,4,159935.181728,4073.004883
2,candidate,dynamic_scope_cleanup,16384,5,183530.093636,4073.005554
2,candidate,dynamic_scope_cleanup,16384,6,207402.888918,4089.004944
2,candidate,dynamic_scope_cleanup,16384,7,231032.288866,4073.010925
2,candidate,dynamic_scope_cleanup,16384,8,264011.221589,4073.004883
2,candidate,dynamic_scope_cleanup,16384,9,279318.614048,4073.004883
2,reference,cancelled_contender,65536,1,11812.106095,7559.000153
2,reference,cancelled_contender,65536,2,11822.950910,7559.000153
2,reference,cancelled_contender,65536,3,11844.756955,7559.000153
2,reference,cancelled_contender,65536,4,11857.162463,7559.000153
