pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,8,101.367363,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,9,101.419914,0.000001
1,a.boxed_old.changed.depth_10,11,8388608,1,97.385282,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,2,97.462760,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,3,97.852705,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,4,97.966904,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,5,101.993692,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,6,102.084044,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,7,97.912903,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,8,97.724296,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,9,101.145389,4.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,1,100.625499,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,2,100.699907,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,3,100.586874,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,4,100.574738,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,5,100.579854,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,6,100.228675,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,7,100.496180,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,8,100.339520,0.000001
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,9,100.437035,0.000001
1,b.boxed_old.changed.depth_10,11,8388608,1,96.622244,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,2,104.750029,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,3,104.653708,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,4,105.359788,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,5,107.898330,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,6,106.235746,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,7,107.524272,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,8,100.385904,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,9,98.182568,4.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,1,104.499946,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,2,104.454045,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,3,104.356388,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,4,104.641089,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,5,105.230214,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,6,105.169534,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,7,105.442041,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,8,105.481888,0.000001
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,9,106.982696,0.000001
1,c.boxed_old.changed.depth_10,11,8388608,1,115.299002,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,2,115.308779,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,3,115.276208,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,4,115.659617,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,5,115.668286,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,6,115.631110,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,7,116.332899,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,8,115.892760,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,9,114.772433,4.000001
1,control.int.changed.depth_100,101,2097152,1,452.600943,4.000005
1,control.int.changed.depth_100,101,2097152,2,453.029088,4.000005
1,control.int.changed.depth_100,101,2097152,3,452.400172,4.000005
1,control.int.changed.depth_100,101,2097152,4,452.650511,4.000005
1,control.int.changed.depth_100,101,2097152,5,452.206677,4.000005
1,control.int.changed.depth_100,101,2097152,6,452.043082,4.000005
1,control.int.changed.depth_100,101,2097152,7,448.974674,4.000005
1,control.int.changed.depth_100,101,2097152,8,442.650730,4.000005
1,control.int.changed.depth_100,101,2097152,9,457.867145,4.000005
1,incremental.a.raw.int.changed.depth_100,101,1048576,1,982.902520,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,2,979.520792,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,3,979.640845,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,4,978.342086,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,5,979.368224,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,6,979.651531,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,7,980.624236,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,8,979.538981,0.000010
1,incremental.a.raw.int.changed.depth_100,101,1048576,9,980.433470,0.000010
1,a.int.changed.depth_100,101,1048576,1,870.075155,4.000010
1,a.int.changed.depth_100,101,1048576,2,869.740461,4.000010
1,a.int.changed.depth_100,101,1048576,3,849.632215,4.000010
