name,pair,operations,sample,wall_ns,allocated_words
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,1,2223.777301,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,2,2227.406185,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,3,2228.553967,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,4,2237.041372,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,5,2242.878509,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,6,2239.586138,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,7,2232.563020,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,8,2239.173227,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,9,2242.122719,1509.000038
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,1,8810.653526,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,2,8804.501704,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,3,8817.656635,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,4,8822.738891,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,5,8833.038009,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,6,8829.512808,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,7,8855.924534,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,8,8847.946447,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,9,8841.583622,6911.000153
eta_signal.effect_seam.raw.depth_1,2,16777216,1,4.344699,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,2,4.352145,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,3,4.350071,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,4,4.352927,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,5,4.351733,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,6,4.349829,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,7,4.348877,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,8,4.346731,0.000001
eta_signal.effect_seam.raw.depth_1,2,16777216,9,4.345594,0.000001
eta_signal.effect_seam.effect.depth_1,2,16777216,1,8.037389,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,2,8.034831,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,3,8.031421,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,4,8.039123,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,5,8.048829,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,6,8.030824,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,7,8.078871,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,8,8.120296,10.000002
eta_signal.effect_seam.effect.depth_1,2,16777216,9,8.128467,10.000002
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,1,117.417812,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,2,117.399452,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,3,117.367989,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,4,117.345706,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,5,117.334622,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,6,117.506971,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,7,117.293951,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,8,117.432364,106.000004
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,9,117.214682,106.000004
eta_signal.effect_seam.public_sync.depth_1,2,2097152,1,250.589892,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,2,250.702897,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,3,250.342396,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,4,250.622747,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,5,250.729045,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,6,250.578410,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,7,250.779181,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,8,251.408551,204.000018
eta_signal.effect_seam.public_sync.depth_1,2,2097152,9,251.784400,204.000018
eta_signal.effect_seam.public_eio.depth_1,2,1048576,1,657.097644,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,2,653.483312,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,3,652.327572,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,4,652.402832,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,5,653.966936,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,6,653.697043,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,7,651.997652,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,8,652.797553,487.000065
eta_signal.effect_seam.public_eio.depth_1,2,1048576,9,651.903065,487.000065
eta_signal.effect_seam.raw.depth_10,2,16777216,1,12.021189,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,2,12.007121,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,3,11.993350,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,4,11.993933,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,5,12.062259,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,6,12.013857,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,7,12.050208,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,8,12.097729,0.000001
eta_signal.effect_seam.raw.depth_10,2,16777216,9,12.063623,0.000001
eta_signal.effect_seam.effect.depth_10,2,16777216,1,14.967554,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,2,14.998861,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,3,14.997653,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,4,14.991514,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,5,14.988302,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,6,14.992182,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,7,14.988473,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,8,14.987592,10.000002
eta_signal.effect_seam.effect.depth_10,2,16777216,9,14.986398,10.000002
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,1,132.113712,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,2,131.921979,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,3,131.896968,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,4,131.140496,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,5,132.102514,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,6,131.792490,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,7,132.064088,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,8,132.001674,106.000009
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,9,132.210062,106.000009
eta_signal.effect_seam.public_sync.depth_10,2,2097152,1,262.163212,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,2,262.259050,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,3,261.918558,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,4,262.746880,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,5,262.867047,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,6,262.734943,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,7,262.439812,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,8,262.472668,204.000018
eta_signal.effect_seam.public_sync.depth_10,2,2097152,9,261.996320,204.000018
eta_signal.effect_seam.public_eio.depth_10,2,1048576,1,672.576789,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,2,674.540615,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,3,672.960368,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,4,673.661134,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,5,675.252068,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,6,673.664090,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,7,674.002649,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,8,673.177738,487.000065
eta_signal.effect_seam.public_eio.depth_10,2,1048576,9,676.130412,487.000065
eta_signal.effect_seam.raw.depth_100,2,8388608,1,99.495054,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,2,99.548458,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,3,99.550590,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,4,99.481355,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,5,99.462994,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,6,99.433663,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,7,99.388245,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,8,99.464870,0.000001
eta_signal.effect_seam.raw.depth_100,2,8388608,9,99.483003,0.000001
eta_signal.effect_seam.effect.depth_100,2,8388608,1,102.787510,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,2,102.765199,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,3,102.866181,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,4,102.776880,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,5,102.803000,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,6,102.742689,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,7,102.786657,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,8,102.714040,10.000004
eta_signal.effect_seam.effect.depth_100,2,8388608,9,102.869137,10.000004
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,1,227.425573,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,2,227.451551,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,3,227.076100,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,4,227.375494,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,5,227.148519,106.000009
