pair,name,operations,sample,wall_ns,allocated_words
3,r2.failed_retry.depth_1,8388608,5,100.922591,8.000001
3,r2.failed_retry.depth_1,8388608,6,101.036420,8.000001
3,r2.failed_retry.depth_1,8388608,7,101.178983,8.000001
3,r2.failed_retry.depth_1,8388608,8,99.911091,8.000001
3,r2.failed_retry.depth_1,8388608,9,98.010531,8.000001
3,r2.failed_retry.depth_10,2097152,1,292.445634,8.000005
3,r2.failed_retry.depth_10,2097152,2,292.170057,8.000005
3,r2.failed_retry.depth_10,2097152,3,292.390382,8.000005
3,r2.failed_retry.depth_10,2097152,4,272.865691,8.000005
3,r2.failed_retry.depth_10,2097152,5,271.333192,8.000005
3,r2.failed_retry.depth_10,2097152,6,269.067755,8.000005
3,r2.failed_retry.depth_10,2097152,7,268.950430,8.000005
3,r2.failed_retry.depth_10,2097152,8,266.953521,8.000005
3,r2.failed_retry.depth_10,2097152,9,266.287316,8.000005
3,r2.failed_retry.depth_100,262144,1,1956.515916,8.000038
3,r2.failed_retry.depth_100,262144,2,1963.641807,8.000038
3,r2.failed_retry.depth_100,262144,3,1965.217052,8.000038
3,r2.failed_retry.depth_100,262144,4,1962.257556,8.000038
3,r2.failed_retry.depth_100,262144,5,1961.967428,8.000038
3,r2.failed_retry.depth_100,262144,6,1959.438123,8.000038
3,r2.failed_retry.depth_100,262144,7,2058.849532,8.000038
3,r2.failed_retry.depth_100,262144,8,2076.835699,8.000038
3,r2.failed_retry.depth_100,262144,9,2077.933459,8.000038
3,incremental.raw.changed.depth_1,16777216,1,33.085470,0.000001
3,incremental.raw.changed.depth_1,16777216,2,33.067636,0.000001
3,incremental.raw.changed.depth_1,16777216,3,33.049758,0.000001
3,incremental.raw.changed.depth_1,16777216,4,33.051663,0.000001
3,incremental.raw.changed.depth_1,16777216,5,33.059720,0.000001
3,incremental.raw.changed.depth_1,16777216,6,33.037665,0.000001
3,incremental.raw.changed.depth_1,16777216,7,33.040223,0.000001
3,incremental.raw.changed.depth_1,16777216,8,32.615731,0.000001
3,incremental.raw.changed.depth_1,16777216,9,31.169961,0.000001
3,r1b.changed.depth_1,16777216,1,30.848270,4.000001
3,r1b.changed.depth_1,16777216,2,30.840212,4.000001
3,r1b.changed.depth_1,16777216,3,30.863760,4.000001
3,r1b.changed.depth_1,16777216,4,30.871391,4.000001
3,r1b.changed.depth_1,16777216,5,30.834499,4.000001
3,r1b.changed.depth_1,16777216,6,30.844447,4.000001
3,r1b.changed.depth_1,16777216,7,30.845456,4.000001
3,r1b.changed.depth_1,16777216,8,30.876819,4.000001
3,r1b.changed.depth_1,16777216,9,30.845769,4.000001
3,incremental.raw.changed.depth_10,8388608,1,97.277280,0.000001
3,incremental.raw.changed.depth_10,8388608,2,97.724325,0.000001
3,incremental.raw.changed.depth_10,8388608,3,95.266813,0.000001
3,incremental.raw.changed.depth_10,8388608,4,95.910195,0.000001
3,incremental.raw.changed.depth_10,8388608,5,95.875151,0.000001
3,incremental.raw.changed.depth_10,8388608,6,97.732794,0.000001
3,incremental.raw.changed.depth_10,8388608,7,102.870445,0.000001
3,incremental.raw.changed.depth_10,8388608,8,102.877863,0.000001
3,incremental.raw.changed.depth_10,8388608,9,103.008773,0.000001
3,r1b.changed.depth_10,8388608,1,103.061808,4.000001
3,r1b.changed.depth_10,8388608,2,102.768524,4.000001
3,r1b.changed.depth_10,8388608,3,103.639366,4.000001
3,r1b.changed.depth_10,8388608,4,104.118243,4.000001
3,r1b.changed.depth_10,8388608,5,104.317309,4.000001
3,r1b.changed.depth_10,8388608,6,103.400112,4.000001
3,r1b.changed.depth_10,8388608,7,103.491573,4.000001
3,r1b.changed.depth_10,8388608,8,103.895076,4.000001
3,r1b.changed.depth_10,8388608,9,101.289402,4.000001
3,incremental.raw.changed.depth_100,524288,1,988.120973,0.000019
3,incremental.raw.changed.depth_100,524288,2,987.493422,0.000019
3,incremental.raw.changed.depth_100,524288,3,987.381100,0.000019
3,incremental.raw.changed.depth_100,524288,4,988.006377,0.000019
3,incremental.raw.changed.depth_100,524288,5,987.924523,0.000019
3,incremental.raw.changed.depth_100,524288,6,988.349711,0.000019
3,incremental.raw.changed.depth_100,524288,7,987.493422,0.000019
3,incremental.raw.changed.depth_100,524288,8,987.361545,0.000019
3,incremental.raw.changed.depth_100,524288,9,987.587100,0.000019
3,r1b.changed.depth_100,524288,1,900.278337,4.000019
3,r1b.changed.depth_100,524288,2,902.132342,4.000019
3,r1b.changed.depth_100,524288,3,900.411578,4.000019
3,r1b.changed.depth_100,524288,4,899.560746,4.000019
3,r1b.changed.depth_100,524288,5,899.202405,4.000019
3,r1b.changed.depth_100,524288,6,898.227427,4.000019
3,r1b.changed.depth_100,524288,7,898.239250,4.000019
3,r1b.changed.depth_100,524288,8,898.084636,4.000019
3,r1b.changed.depth_100,524288,9,897.422524,4.000019
3,incremental.raw.cutoff.depth_10,16777216,1,32.456882,0.000001
